"Stations_id","Referenzjahr","Qualitaetsniveau","Objekt_id","Phase_id","Eintrittsdatum","Eintrittsdatum_QB","Date","Year","Month","Day","rad_global_apr","soil_moist_apr","precip_apr","temp_max_apr","temp_min_apr","Bundesland","Hoehe","Lon","Lat","Naturraumgruppe","Stationsname","Apfelbluete"
11352,2024,10,311,5,20240406,1,2024-04-06,2024,4,6,121.587562561035,84,63.4625282287598,15.8303741455078,4.60207710266113,"Bayern",400,11.45,49.1667,"Fränkisches Keuper-Lias-Land","Mühlhausen/Oberpf.",96
11352,2025,1,311,5,20250418,1,2025-04-18,2025,4,18,155.635147094727,71,13.6396999359131,17.7886703491211,4.23320198059082,"Bayern",400,11.45,49.1667,"Fränkisches Keuper-Lias-Land","Mühlhausen/Oberpf.",108
11359,2023,10,311,5,20230504,1,2023-05-04,2023,5,4,112.222282409668,98.9754409790039,53.8886756896973,11.9343544006348,2.5043571472168,"Bayern",440,12.3,49.3167,"Oberpfälzisch-Obermainisches Hügelland","Taxöldern ",124
11359,2024,10,311,5,20240409,1,2024-04-09,2024,4,9,122.750274658203,82.4778442382812,69.3474960327148,15.9343536376953,4.22564010620117,"Bayern",440,12.3,49.3167,"Oberpfälzisch-Obermainisches Hügelland","Taxöldern ",99
11362,2023,10,311,5,20230505,1,2023-05-05,2023,5,5,109.577110290527,98.284294128418,49.7548713684082,11.6971084594727,2.64855422973633,"Bayern",390,12.15,49.5833,"Oberpfälzisch-Obermainisches Hügelland","Luhe",125
11364,2023,10,311,5,20230505,1,2023-05-05,2023,5,5,109.429290771484,99.772819519043,48.6675491333008,11.1695434570312,2.24562606811523,"Bayern",410,12.1833,49.7167,"Oberpfälzisch-Obermainisches Hügelland","Hammerharlesberg",125
11364,2024,10,311,5,20240410,1,2024-04-10,2024,4,10,122.461044311523,82.192741394043,67.5068435668945,15.2628005981445,3.74562606811523,"Bayern",410,12.1833,49.7167,"Oberpfälzisch-Obermainisches Hügelland","Hammerharlesberg",100
11364,2025,1,311,5,20250417,1,2025-04-17,2025,4,17,144.834762573242,72.772819519043,33.8023986816406,16.627587890625,3.4362979888916,"Bayern",410,12.1833,49.7167,"Oberpfälzisch-Obermainisches Hügelland","Hammerharlesberg",107
11377,2023,10,311,5,20230506,1,2023-05-06,2023,5,6,112.45027923584,99.4746475219727,61.3126678466797,11.6601593017578,2.58312358856201,"Bayern",460,11.8167,49.1,"Fränkische Alb (Frankenalb) ","Beratzhausen (Ph) ",126
11377,2024,10,311,5,20240409,1,2024-04-09,2024,4,9,122.039840698242,85.3779525756836,86.1757736206055,15.3601593017578,4.63568153381348,"Bayern",460,11.8167,49.1,"Fränkische Alb (Frankenalb) ","Beratzhausen (Ph) ",99
11377,2025,1,311,5,20250422,1,2025-04-22,2025,4,22,152.854888916016,73.4746475219727,20.0719528198242,17.5284866333008,4.38312339782715,"Bayern",460,11.8167,49.1,"Fränkische Alb (Frankenalb) ","Beratzhausen (Ph) ",112
11380,2023,10,311,5,20230425,1,2023-04-25,2023,4,25,113.753723144531,98.9646453857422,56.2452430725098,11.7503173828125,2.52515850067139,"Bayern",450,11.9167,49.05,"Fränkische Alb (Frankenalb) ","Waldetzenberg ",115
11380,2024,10,311,5,20240407,1,2024-04-07,2024,4,7,123.357414245605,84.2522964477539,67.0300979614258,15.6503173828125,4.32515869140625,"Bayern",450,11.9167,49.05,"Fränkische Alb (Frankenalb) ","Waldetzenberg ",97
11384,2023,10,311,5,20230508,1,2023-05-08,2023,5,8,111.471908569336,100.868347167969,60.6745910644531,11.1985336303711,2.31941337585449,"Bayern",510,11.7667,49.2167,"Fränkische Alb (Frankenalb) ","Oedenthurn",128
11384,2024,10,311,5,20240415,1,2024-04-15,2024,4,15,121.831909179688,87.0933990478516,71.2973861694336,14.8985336303711,4.34140014648438,"Bayern",510,11.7667,49.2167,"Fränkische Alb (Frankenalb) ","Oedenthurn",105
11392,2023,10,311,5,20230501,1,2023-05-01,2023,5,1,113.678031921387,99.5339584350586,50.6035575866699,11.7821357727051,2.56780128479004,"Bayern",500,11.9167,49,"Fränkische Alb (Frankenalb) ","Nittendorf-Haugenried ",121
11392,2024,10,311,5,20240408,1,2024-04-08,2024,4,8,123.14395904541,85.5339584350586,56.3825912475586,15.7160369873047,4.30675277709961,"Bayern",500,11.9167,49,"Fränkische Alb (Frankenalb) ","Nittendorf-Haugenried ",98
11396,2023,10,311,5,20230502,1,2023-05-02,2023,5,2,113.943634033203,98.0070648193359,48.3593635559082,12.0859596252441,2.700412940979,"Bayern",400,11.9333,49.0167,"Fränkische Alb (Frankenalb) ","Nittendorf-Loch ",122
